combo;rang;type_main
[ 5 12 25 31 51];30;2
[ 5 12 25 44 51];30;2
[12 18 25 44 51];30;2
[12 25 31 44 51];30;2
[ 5 12 18 38 51];30;2
[18 25 38 44 51];30;2
[18 25 31 38 51];30;2
[ 5 25 38 44 51];30;2
[ 5 25 31 38 51];30;2
[ 5 18 25 38 51];30;2
[25 31 38 44 51];30;2
[12 18 38 44 51];30;2
[12 18 31 38 51];30;2
[ 5 12 38 44 51];30;2
[ 5 12 31 38 51];30;2
[12 31 38 44 51];30;2
[12 17 25 30 51];31;2
[ 4 12 17 25 38];31;2
[ 4 12 25 30 38];31;2
[ 4 12 25 38 43];31;2
[12 17 25 30 38];31;2
[12 17 25 38 43];31;2
[12 25 30 38 43];31;2
[ 4 12 17 25 51];31;2
[ 4 12 25 30 51];31;2
[ 4 12 25 43 51];31;2
[12 17 25 43 51];31;2
[25 30 38 43 51];31;2
[ 4 12 17 38 51];31;2
[ 4 12 30 38 51];31;2
[ 4 12 38 43 51];31;2
[12 17 30 38 51];31;2
[12 17 38 43 51];31;2
[12 30 38 43 51];31;2
[ 4 17 25 38 51];31;2
[ 4 25 30 38 51];31;2
[ 4 25 38 43 51];31;2
[17 25 30 38 51];31;2
[17 25 38 43 51];31;2
[12 25 30 43 51];31;2
[ 3 12 25 42 51];32;2
[ 3 12 25 29 51];32;2
[ 3 12 16 25 51];32;2
[12 25 29 38 42];32;2
[12 16 25 29 51];32;2
[12 16 25 29 38];32;2
[ 3 12 25 38 42];32;2
[ 3 12 25 29 38];32;2
[ 3 12 16 25 38];32;2
[12 16 25 38 42];32;2
[12 16 25 42 51];32;2
[25 29 38 42 51];32;2
[ 3 12 16 38 51];32;2
[16 25 38 42 51];32;2
[16 25 29 38 51];32;2
[ 3 25 38 42 51];32;2
[ 3 25 29 38 51];32;2
[ 3 16 25 38 51];32;2
[12 25 29 42 51];32;2
[12 16 38 42 51];32;2
[12 16 29 38 51];32;2
[ 3 12 38 42 51];32;2
[ 3 12 29 38 51];32;2
[12 29 38 42 51];32;2
[12 15 25 41 51];33;2
[ 2 12 25 28 38];33;2
[ 2 12 25 38 41];33;2
[12 15 25 28 38];33;2
[12 15 25 38 41];33;2
[12 25 28 38 41];33;2
[ 2 12 15 25 51];33;2
[ 2 12 25 28 51];33;2
[ 2 12 25 41 51];33;2
[12 15 25 28 51];33;2
[ 2 12 15 25 38];33;2
[12 25 28 41 51];33;2
[ 2 12 28 38 51];33;2
[ 2 12 38 41 51];33;2
[12 15 28 38 51];33;2
[12 15 38 41 51];33;2
[12 28 38 41 51];33;2
[ 2 15 25 38 51];33;2
[ 2 25 28 38 51];33;2
[ 2 25 38 41 51];33;2
[15 25 28 38 51];33;2
[15 25 38 41 51];33;2
[25 28 38 41 51];33;2
[ 2 12 15 38 51];33;2
[ 1 12 25 40 51];34;2
[ 1 12 25 27 51];34;2
[ 1 12 14 25 51];34;2
[12 25 27 38 40];34;2
[12 14 25 27 51];34;2
[12 14 25 27 38];34;2
[ 1 12 25 38 40];34;2
[ 1 12 25 27 38];34;2
[ 1 12 14 25 38];34;2
[12 14 25 38 40];34;2
[12 14 25 40 51];34;2
[12 25 27 40 51];34;2
[ 1 12 14 38 51];34;2
[14 25 38 40 51];34;2
[14 25 27 38 51];34;2
[ 1 25 38 40 51];34;2
[ 1 25 27 38 51];34;2
[ 1 14 25 38 51];34;2
[25 27 38 40 51];34;2
[12 14 38 40 51];34;2
[12 14 27 38 51];34;2
[ 1 12 38 40 51];34;2
[ 1 12 27 38 51];34;2
[12 27 38 40 51];34;2
[12 13 25 26 51];35;2
[ 0 12 13 25 38];35;2
[ 0 12 25 26 38];35;2
[ 0 12 25 38 39];35;2
[12 13 25 26 38];35;2
[12 13 25 38 39];35;2
[12 25 26 38 39];35;2
[ 0 12 13 25 51];35;2
[ 0 12 25 26 51];35;2
[ 0 12 25 39 51];35;2
[12 13 25 39 51];35;2
[12 25 26 39 51];35;2
[ 0 12 13 38 51];35;2
[13 25 38 39 51];35;2
[13 25 26 38 51];35;2
[ 0 25 38 39 51];35;2
[ 0 25 26 38 51];35;2
[ 0 13 25 38 51];35;2
[25 26 38 39 51];35;2
[12 13 38 39 51];35;2
[12 13 26 38 51];35;2
[ 0 12 38 39 51];35;2
[ 0 12 26 38 51];35;2
[12 26 38 39 51];35;2
[11 24 25 38 50];36;2
[11 12 24 25 37];36;2
[11 12 24 37 38];36;2
[11 12 24 37 51];36;2
[11 24 25 37 38];36;2
[11 24 25 37 51];36;2
[11 24 37 38 51];36;2
[11 12 24 25 50];36;2
[11 12 24 38 50];36;2
[11 12 24 50 51];36;2
[11 24 25 50 51];36;2
[24 37 38 50 51];36;2
[11 12 25 37 50];36;2
[11 12 37 38 50];36;2
[11 12 37 50 51];36;2
[11 25 37 38 50];36;2
[11 25 37 50 51];36;2
[11 37 38 50 51];36;2
[12 24 25 37 50];36;2
[12 24 37 38 50];36;2
[12 24 37 50 51];36;2
[24 25 37 38 50];36;2
[24 25 37 50 51];36;2
[11 24 38 50 51];36;2
[10 11 24 49 50];38;2
[10 11 24 36 50];38;2
[10 11 23 24 50];38;2
[11 24 36 37 49];38;2
[11 23 24 36 50];38;2
[11 23 24 36 37];38;2
[10 11 24 37 49];38;2
[10 11 24 36 37];38;2
[10 11 23 24 37];38;2
[11 23 24 37 49];38;2
[11 23 24 49 50];38;2
[24 36 37 49 50];38;2
[10 11 23 37 50];38;2
[23 24 37 49 50];38;2
[23 24 36 37 50];38;2
[10 24 37 49 50];38;2
[10 24 36 37 50];38;2
[10 23 24 37 50];38;2
[11 24 36 49 50];38;2
[11 23 37 49 50];38;2
[11 23 36 37 50];38;2
[10 11 37 49 50];38;2
[10 11 36 37 50];38;2
[11 36 37 49 50];38;2
[11 22 24 48 50];39;2
[ 9 11 24 35 37];39;2
[ 9 11 24 37 48];39;2
[11 22 24 35 37];39;2
[11 22 24 37 48];39;2
[11 24 35 37 48];39;2
[ 9 11 22 24 50];39;2
[ 9 11 24 35 50];39;2
[ 9 11 24 48 50];39;2
[11 22 24 35 50];39;2
[ 9 11 22 24 37];39;2
[11 24 35 48 50];39;2
[ 9 11 35 37 50];39;2
[ 9 11 37 48 50];39;2
[11 22 35 37 50];39;2
[11 22 37 48 50];39;2
[11 35 37 48 50];39;2
[ 9 22 24 37 50];39;2
[ 9 24 35 37 50];39;2
[ 9 24 37 48 50];39;2
[22 24 35 37 50];39;2
[22 24 37 48 50];39;2
[24 35 37 48 50];39;2
[ 9 11 22 37 50];39;2
[ 8 11 24 47 50];40;2
[ 8 11 24 34 50];40;2
[ 8 11 21 24 50];40;2
[11 24 34 37 47];40;2
[11 21 24 34 50];40;2
[11 21 24 34 37];40;2
[ 8 11 24 37 47];40;2
[ 8 11 24 34 37];40;2
[ 8 11 21 24 37];40;2
[11 21 24 37 47];40;2
[11 21 24 47 50];40;2
[11 24 34 47 50];40;2
[ 8 11 21 37 50];40;2
[21 24 37 47 50];40;2
[21 24 34 37 50];40;2
[ 8 24 37 47 50];40;2
[ 8 24 34 37 50];40;2
[ 8 21 24 37 50];40;2
[24 34 37 47 50];40;2
[11 21 37 47 50];40;2
[11 21 34 37 50];40;2
[ 8 11 37 47 50];40;2
[ 8 11 34 37 50];40;2
[11 34 37 47 50];40;2
[11 20 24 33 50];41;2
[ 7 11 20 24 37];41;2
[ 7 11 24 33 37];41;2
[ 7 11 24 37 46];41;2
[11 20 24 33 37];41;2
[11 20 24 37 46];41;2
[11 24 33 37 46];41;2
[ 7 11 20 24 50];41;2
[ 7 11 24 33 50];41;2
[ 7 11 24 46 50];41;2
[11 20 24 46 50];41;2
[11 24 33 46 50];41;2
[ 7 11 20 37 50];41;2
[20 24 37 46 50];41;2
[20 24 33 37 50];41;2
[ 7 24 37 46 50];41;2
[ 7 24 33 37 50];41;2
[ 7 20 24 37 50];41;2
[24 33 37 46 50];41;2
